# target,RA,Dec,band(s),freq [GHz],start,stop,I flux [mJy],I error [mJy],Q flux [mJy],Q error [mJy],U flux [mJy],U error [mJy],Pol.Frac,PF low lim,PF high lim,Pol.Ang [deg],PA low lim,PA high lim
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,44+70+100,94.265,2009-12-26,2009-12-28,1882.2,28.5,-77.9,46.7,-55.8,39.4,0.0452,0.0000,0.1140,-72.199,-98.334,-37.985
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,70+100+143,126.600,2010-01-01,2010-01-03,1613.0,18.2,-66.0,32.4,-47.2,30.5,0.0462,0.0140,0.0876,-72.215,-94.996,-47.079
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,100+143+217,155.323,2009-12-28,2009-12-30,1479.4,15.1,-48.0,28.6,-60.2,26.9,0.0483,0.0180,0.0851,-64.287,-85.279,-42.190
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,143+217+353,187.394,2009-12-30,2009-12-30,1341.5,16.4,-39.0,34.6,-38.9,34.2,0.0318,0.0000,0.1078,-67.517,-157.467,22.344
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,217+353+545,273.554,2009-12-31,2009-12-31,1124.9,22.6,-14.7,52.2,-37.4,49.8,0.0000,0.0000,0.1472,-55.731,-145.654,34.228
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,353+545+857,583.268,2009-12-31,2009-12-31,748.6,35.4,-12.5,111.9,91.7,122.2,0.0000,0.0000,0.5280,48.889,-41.107,138.877
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,30+44+70,39.170,2010-06-28,2010-06-30,2748.6,48.5,70.7,68.4,-47.8,68.6,0.0189,0.0000,0.0955,-17.033,-106.999,72.927
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,44+70+100,93.565,2010-06-27,2010-06-28,1595.6,33.0,21.9,50.3,-21.6,47.4,0.0000,0.0000,0.0938,-22.309,-112.300,67.677
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,70+100+143,128.808,2010-06-22,2010-06-23,1361.8,19.8,-28.8,35.2,-40.4,34.7,0.0265,0.0000,0.1054,-62.769,-152.507,26.981
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,100+143+217,157.516,2010-06-25,2010-06-26,1226.6,16.2,-31.7,29.8,-18.1,29.7,0.0179,0.0000,0.0932,-75.112,-165.097,14.723
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,143+217+353,185.662,2010-06-25,2010-06-25,1134.0,17.5,-54.6,36.4,-28.3,36.2,0.0436,0.0000,0.1396,-76.302,-165.651,12.815
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,217+353+545,264.683,2010-06-24,2010-06-24,924.9,25.0,-73.9,54.2,70.0,52.8,0.0939,0.0000,0.2668,68.282,-14.715,157.919
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,353+545+857,580.240,2010-06-24,2010-06-24,501.7,35.4,-41.7,108.5,-77.8,104.8,0.0000,0.0000,0.7355,-59.104,-149.090,30.891
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,30+44+70,36.787,2010-12-24,2010-12-27,2641.2,39.2,-108.4,60.2,1.5,51.3,0.0362,0.0000,0.1038,89.614,3.026,176.050
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,44+70+100,93.813,2010-12-26,2010-12-28,1441.5,30.2,-91.4,49.0,27.9,41.8,0.0595,0.0000,0.1587,81.507,39.185,119.336
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,70+100+143,129.314,2011-01-01,2011-01-03,1246.3,17.9,-45.8,31.5,45.2,30.7,0.0450,0.0000,0.1196,67.689,32.868,100.645
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,100+143+217,156.197,2010-12-28,2010-12-29,1153.7,15.0,-56.2,27.6,34.1,27.0,0.0517,0.0123,0.1011,74.379,47.962,99.825
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,143+217+353,185.441,2010-12-30,2010-12-30,1037.8,15.7,-42.2,30.9,20.8,31.4,0.0337,0.0000,0.1244,76.891,-12.994,166.783
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,217+353+545,267.478,2010-12-31,2010-12-31,851.6,22.5,-133.8,48.0,-47.5,48.8,0.1571,0.0577,0.2765,-80.231,-100.117,-60.940
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,353+545+857,557.298,2010-12-31,2010-12-31,496.6,35.2,98.1,106.8,-65.6,107.8,0.0798,0.0000,0.7952,-16.889,-106.769,72.910
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,30+44+70,37.893,2011-06-28,2011-06-30,2434.3,44.4,55.0,67.5,-127.7,57.5,0.0504,0.0000,0.1258,-33.342,-64.886,-6.520
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,44+70+100,94.504,2011-06-27,2011-06-28,1377.6,31.2,14.0,48.8,-2.3,44.7,0.0000,0.0000,0.0974,-4.617,-94.601,85.381
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,70+100+143,128.231,2011-06-22,2011-06-23,1165.3,18.0,-4.2,32.8,43.7,31.2,0.0252,0.0000,0.1084,47.740,-42.210,137.333
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,100+143+217,154.404,2011-06-25,2011-06-26,1075.0,15.3,-20.1,29.0,62.9,28.0,0.0553,0.0100,0.1132,53.870,24.997,81.342
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,143+217+353,186.080,2011-06-24,2011-06-25,974.1,16.3,-34.5,34.9,102.8,34.8,0.1054,0.0447,0.1795,54.266,35.272,72.906
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,217+353+545,280.381,2011-06-24,2011-06-24,808.1,24.0,-34.1,52.4,90.9,50.8,0.1000,0.0000,0.2862,55.280,18.297,95.897
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,353+545+857,536.977,2011-06-24,2011-06-24,512.7,35.7,10.7,108.6,-151.1,109.2,0.2034,0.0000,0.9038,-42.973,-132.264,46.955
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,30+44+70,36.928,2012-01-03,2012-01-05,2590.7,58.4,-206.5,81.8,-29.2,80.7,0.0741,0.0200,0.1410,-85.972,-109.545,-60.660
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,30+44+70,38.141,2012-06-23,2012-06-25,2098.5,53.5,63.1,72.0,-1.3,80.8,0.0000,0.0000,0.1204,-0.579,-90.567,89.403
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,30+44+70,37.097,2013-01-04,2013-01-05,2142.3,47.2,-4.1,60.5,16.2,74.8,0.0000,0.0000,0.0935,52.111,-37.847,142.076
PCCS2 143 G085.67+83.35 a.k.a. QSO B1308+326,197.6133,32.3352,30+44+70,37.110,2013-06-23,2013-06-25,1699.8,51.0,-7.4,74.7,41.0,69.3,0.0000,0.0000,0.1264,50.134,-39.786,140.133
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30,30.000,2009-08-23,2009-08-29,1510.5,39.7,136.2,57.1,77.8,55.1,0.0975,0.0294,0.1795,14.871,-6.990,36.968
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2009-08-25,2009-08-29,1646.8,128.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2009-08-19,2009-08-25,1491.9,85.5,99.4,127.0,260.9,118.1,0.1695,0.0222,0.3637,34.571,8.672,69.046
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100,100.000,2009-08-17,2009-08-20,1511.0,22.3,56.0,30.6,55.1,37.5,0.0471,0.0000,0.1167,22.289,-11.490,47.291
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217,217.000,2009-08-14,2009-08-16,1130.0,19.0,86.3,42.1,80.4,36.9,0.0988,0.0339,0.1739,21.482,2.763,42.910
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,353,353.000,2009-08-12,2009-08-13,806.1,66.4,174.2,174.0,264.2,151.9,0.3390,0.0000,1.0000,28.302,-53.785,113.443
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30,30.000,2010-04-17,2010-04-21,1406.8,45.7,123.6,64.5,102.6,63.2,0.1050,0.0242,0.2056,19.852,-4.566,45.139
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2010-04-18,2010-05-07,1403.6,98.5,-35.2,170.5,-104.4,139.0,0.0000,0.0000,0.4216,-54.311,-144.118,35.534
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2010-04-20,2010-04-24,1261.7,98.8,-39.0,138.1,-42.8,140.3,0.0000,0.0000,0.3323,-66.174,-156.134,23.790
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100,100.000,2010-04-24,2010-04-26,1173.1,28.9,203.4,43.7,54.8,44.9,0.1757,0.1081,0.2515,7.534,-4.468,18.572
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,143,143.000,2010-05-01,2010-05-04,999.4,17.4,46.1,37.9,70.1,34.2,0.0754,0.0149,0.1507,28.330,1.887,57.934
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217,217.000,2010-04-26,2010-04-28,742.0,26.7,57.4,60.2,-4.5,52.9,0.0291,0.0000,0.2841,-2.242,-92.198,87.750
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,353,353.000,2010-04-29,2010-04-29,637.4,47.2,89.0,109.7,88.2,130.1,0.0469,0.0000,0.7040,22.375,-67.572,112.370
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,545,545.000,2010-04-30,2010-05-01,705.7,69.8,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,857,857.000,2010-04-30,2010-05-01,231.8,46.6,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30,30.000,2010-08-23,2010-08-29,1136.9,35.7,177.5,48.5,97.2,50.1,0.1722,0.1045,0.2514,14.351,0.768,28.168
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2010-08-02,2010-08-29,1080.1,78.9,42.1,130.9,40.1,102.6,0.0000,0.0000,0.3477,21.832,-68.089,111.722
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2010-08-19,2010-08-25,1036.1,77.8,114.6,112.8,219.8,108.4,0.2156,0.0281,0.4606,31.236,2.500,64.566
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100,100.000,2010-08-17,2010-08-20,932.4,22.9,108.9,32.4,138.4,37.6,0.1855,0.1145,0.2635,25.898,14.960,35.659
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,143,143.000,2010-08-06,2010-08-09,860.1,15.8,123.0,35.1,58.8,36.1,0.1527,0.0830,0.2316,12.784,-1.974,27.051
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217,217.000,2010-08-14,2010-08-16,654.9,19.5,21.5,44.3,-26.7,44.6,0.0000,0.0000,0.2211,-25.582,-115.576,64.306
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30,30.000,2011-04-17,2011-04-21,1249.4,47.8,142.6,64.5,75.5,69.0,0.1178,0.0233,0.2404,13.947,-15.222,38.931
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2011-04-17,2011-05-07,812.5,95.8,11.8,162.1,21.2,131.7,0.0000,0.0000,0.5701,30.513,-59.464,120.512
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2011-04-20,2011-04-24,1112.0,101.1,267.6,139.5,88.4,146.2,0.2186,0.0000,0.6538,9.145,-32.930,45.646
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100,100.000,2011-04-24,2011-04-26,1092.1,26.2,54.9,37.9,21.4,41.1,0.0391,0.0000,0.1460,10.630,-79.152,100.355
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,143,143.000,2011-05-01,2011-05-04,973.3,15.6,117.5,29.3,46.4,34.7,0.1249,0.0735,0.1872,10.784,-4.417,24.776
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217,217.000,2011-04-26,2011-04-28,800.0,19.8,27.3,45.4,20.3,39.7,0.0000,0.0000,0.1830,18.325,-71.667,108.315
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,353,353.000,2011-04-28,2011-04-29,589.7,51.3,-2.5,115.0,-13.2,128.9,0.0000,0.0000,0.5929,-50.294,-140.286,39.678
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,545,545.000,2011-04-30,2011-05-01,711.6,62.6,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,857,857.000,2011-04-30,2011-05-01,334.5,46.9,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2011-07-30,2011-09-06,1241.0,48.3,75.2,73.7,6.4,63.5,0.0330,0.0000,0.2145,2.442,-87.557,92.376
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2011-09-04,2011-09-12,1182.8,75.0,32.8,99.3,-106.5,110.9,0.0381,0.0000,0.3286,-36.450,-126.442,53.404
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100,100.000,2011-09-10,2011-09-18,1184.4,14.1,100.0,21.8,49.1,20.2,0.0924,0.0615,0.1263,13.069,3.233,23.291
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217,217.000,2011-09-26,2011-10-27,890.0,10.7,55.9,15.3,38.9,16.0,0.0743,0.0442,0.1089,17.413,4.195,30.304
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100,100.000,2011-11-01,2011-11-05,1200.1,20.0,62.2,30.8,72.3,30.2,0.0757,0.0291,0.1290,24.635,6.513,43.529
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217,217.000,2011-10-29,2011-10-31,878.1,19.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,353,353.000,2011-10-04,2011-10-20,752.3,9.1,27.2,23.4,53.3,22.0,0.0720,0.0315,0.1295,31.495,7.425,52.842
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30,30.000,2011-11-10,2011-11-16,1299.1,37.4,170.8,53.4,-31.6,52.6,0.1276,0.0550,0.2140,-5.237,-21.430,12.248
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2011-11-12,2011-11-16,1223.5,88.7,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2011-11-04,2011-11-12,1273.2,70.5,203.9,99.2,-34.1,98.7,0.1426,0.0118,0.3185,-4.747,-39.265,29.515
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30,30.000,2012-03-21,2012-03-25,1492.9,39.8,94.8,59.5,-25.8,55.2,0.0523,0.0000,0.1688,-7.607,-97.017,78.470
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2012-03-21,2012-04-16,1040.4,90.9,-43.7,113.0,230.6,151.3,0.1965,0.0000,0.6466,50.359,-39.152,140.343
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2012-03-24,2012-03-29,1225.7,91.2,-113.0,125.5,55.9,132.0,0.0000,0.0000,0.3725,76.832,-13.089,166.816
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2012-06-07,2012-06-17,913.7,74.8,138.3,140.2,261.2,88.0,0.2906,0.1270,0.5626,31.048,11.991,58.819
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2012-07-12,2012-09-01,1157.6,31.6,-13.8,47.4,75.3,43.5,0.0510,0.0000,0.1689,50.206,-25.391,139.964
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30,30.000,2012-11-09,2012-11-16,1234.3,38.6,14.6,55.0,-16.4,52.7,0.0000,0.0000,0.1314,-24.214,-114.187,65.784
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2012-11-11,2012-11-16,1162.7,104.5,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2012-11-04,2012-11-11,1099.3,70.1,248.2,102.3,135.4,93.4,0.2414,0.0841,0.4448,14.308,-5.231,36.146
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30,30.000,2013-03-21,2013-03-26,944.9,40.3,27.5,56.4,97.0,55.0,0.0905,0.0000,0.2824,37.099,-52.489,125.068
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2013-03-21,2013-04-16,769.0,84.2,5.0,100.9,-201.4,152.8,0.2266,0.0000,0.8312,-44.291,-134.280,45.594
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2013-03-25,2013-03-29,1037.7,98.4,72.3,133.9,261.3,144.2,0.2250,0.0000,0.6915,37.266,-10.793,77.713
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2013-06-07,2013-06-18,522.4,87.7,99.9,147.8,253.4,108.5,0.4448,0.0836,1.0000,34.242,6.681,70.308
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2013-07-12,2013-07-31,827.9,44.8,-24.5,64.1,-0.9,62.5,0.0000,0.0000,0.2243,-88.957,-178.945,0.997
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44,44.000,2013-09-16,2013-09-17,909.3,344.4,65.4,505.2,451.4,460.4,0.0000,0.0000,1.0000,40.878,-49.118,130.866
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70,70.000,2013-08-20,2013-09-09,696.0,43.2,-14.8,59.9,91.1,61.0,0.1007,0.0000,0.3773,49.611,-40.313,139.216
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30+44,31.214,2009-08-25,2009-08-29,1526.0,37.9,126.1,56.9,50.0,50.7,0.0822,0.0171,0.1616,10.814,-13.534,37.843
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44+70,62.104,2009-08-19,2009-08-25,1544.8,70.4,16.7,121.7,107.4,86.6,0.0000,0.0000,0.2293,40.581,-49.285,130.535
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70+100,98.107,2009-08-17,2009-08-20,1512.2,21.5,57.3,29.8,73.9,35.6,0.0584,0.0183,0.1059,26.120,3.150,44.603
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100+217,167.246,2009-08-14,2009-08-16,1243.5,13.7,56.7,22.0,61.2,24.5,0.0647,0.0310,0.1045,23.589,6.995,38.093
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217+353,227.465,2009-08-12,2009-08-13,1094.3,18.0,88.0,40.1,85.9,35.2,0.1073,0.0454,0.1783,22.155,6.011,40.292
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30+44,32.441,2010-04-18,2010-05-07,1411.3,41.1,110.1,59.1,70.3,56.6,0.0839,0.0000,0.2143,16.284,-15.243,47.121
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44+70,56.900,2010-04-20,2010-04-24,1326.8,69.0,-32.7,106.1,-77.5,95.6,0.0000,0.0000,0.2798,-56.439,-146.245,33.406
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70+100,97.611,2010-04-24,2010-04-26,1180.4,27.7,179.3,41.5,44.0,42.7,0.1524,0.0885,0.2246,6.898,-5.989,18.958
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100+143,131.491,2010-05-01,2010-05-04,1036.2,14.7,116.0,27.4,57.1,26.3,0.1223,0.0747,0.1752,13.094,2.120,24.289
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,143+217,165.209,2010-04-26,2010-04-28,904.9,14.2,47.4,31.1,50.1,27.9,0.0690,0.0124,0.1407,23.300,-2.510,53.610
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217+353,249.675,2010-04-29,2010-04-29,710.0,22.9,64.0,52.0,7.7,47.6,0.0617,0.0000,0.2806,3.444,-86.512,93.437
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,353+545,413.195,2010-04-30,2010-05-01,663.0,39.3,93.1,115.1,100.5,136.7,0.0773,0.0000,0.7153,23.592,-66.355,113.588
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,545+857,760.747,2010-04-30,2010-05-01,287.7,25.6,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30+44,32.158,2010-08-02,2010-08-29,1121.6,32.2,161.6,44.8,83.8,44.9,0.1569,0.0936,0.2308,13.696,0.105,27.865
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44+70,57.117,2010-08-19,2010-08-25,1056.2,55.3,66.6,84.4,116.6,73.2,0.0993,0.0000,0.3212,30.134,-59.304,120.024
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70+100,97.648,2010-08-17,2010-08-20,939.7,21.9,109.3,31.1,147.2,35.3,0.1923,0.1269,0.2626,26.699,17.344,35.762
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100+143,129.048,2010-08-06,2010-08-09,877.9,12.9,110.1,23.2,98.6,25.4,0.1661,0.1170,0.2200,20.920,12.012,29.463
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,143+217,172.232,2010-08-14,2010-08-16,759.8,11.8,87.8,26.5,30.1,27.1,0.1168,0.0565,0.1871,9.474,-6.901,26.030
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,30+44,32.665,2011-04-17,2011-05-07,1135.5,41.2,122.4,56.5,66.9,59.0,0.1124,0.0199,0.2298,14.328,-14.841,39.695
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,44+70,56.379,2011-04-20,2011-04-24,965.0,69.0,169.8,101.2,70.8,96.8,0.1656,0.0000,0.5081,11.310,-78.213,101.209
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,70+100,98.155,2011-04-24,2011-04-26,1095.5,25.3,69.9,36.5,25.2,39.5,0.0577,0.0000,0.1582,9.906,-27.673,44.864
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,100+143,131.560,2011-05-01,2011-05-04,1001.5,13.2,91.3,22.5,34.2,25.8,0.0940,0.0558,0.1401,10.276,-4.523,24.078
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,143+217,171.296,2011-04-26,2011-04-28,899.4,12.0,93.7,23.8,38.6,25.9,0.1090,0.0630,0.1635,11.201,-2.994,24.719
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,217+353,235.038,2011-04-28,2011-04-29,755.7,17.9,23.3,41.2,16.4,36.5,0.0000,0.0000,0.1718,17.580,-72.412,107.569
PCCS2 143 G085.73+26.08 a.k.a. 4C 56.27 -- BL Lac - type object,276.0127,56.8478,353+545,428.229,2011-04-30,2011-05-01,638.4,39.9,-2.6,128.5,-18.1,143.0,0.0000,0.0000,0.5938,-49.011,-139.003,40.961
